id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,Population & Infrastructure,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/ltv_population.png,wfg_ltv_econ.industry.LtvPopulationAndInfrastructure,"The basic infrastructure required to support a given population, from rickety orbital hab-modules to megacities and everything between.",100,
farming,Farming,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/ltv_farming.png,wfg_ltv_econ.industry.LtvFarming,"Agriculture is a trade and technology as old as civilization itself; for thousands of cycles Humanity has harnessed the power of natural, modified, and artificial biological machines for sustenance. So it has always been, so it shall be so long as humans are human.",200,LOW
aquaculture,Aquaculture,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,wfg_ltv_econ.industry.LtvFarming,"Farming on a water world requires a significant initial investment in bioengineering suitable species, but once the process takes off, algae farms and fisheries can be operated by the population without requiring much in the way of specialized training or equipment.",210,MEDIUM
mining,Mining,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/ltv_mining.png,wfg_ltv_econ.industry.LtvMining,"Metal and metalloid ores, organics, and volatile compounds all require heavy equipment, special infrastructure, and a skilled workforce to extract. The harsh work attracts a certain type, and an administration that's not willing to look the other way now and again may find itself running short of willing personnel.",300,MEDIUM
techmining,Tech-Mining,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/ltv_techmining.png,wfg_ltv_econ.industry.LtvTechMining,"Techmining is the motley art of recovering valuable artifacts from Domain ruins. Requires special tools to deal with unique hazards and expert judgement to know where to look for a good haul of baubles. The oldest techminers are a strange lot, clutching luck-charms and refusing to work without their rituals.",400,MEDIUM
refining,Refining,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/ltv_refining.png,wfg_ltv_econ.industry.LtvRefining,"Smelting plants here convert ores and transplutonic ores into metals and transplutonics, respectively. Teleoperated robotics are used to handle the most dangerous tasks, usually.",500,MEDIUM
spaceport,Spaceport,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/ltv_spaceport.png,wfg_ltv_econ.industry.LtvSpaceport,Facilities for loading and unloading cargo and performing basic starship repairs. A colony without a spaceport is virtually inaccessible to interstellar trade.,150,HIGH
megaport,Megaport,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/ltv_megaport.png,wfg_ltv_econ.industry.LtvSpaceport,"A vast starport where the stars can touch the dirt. Regimented lander gantries and armoured fuel tanks are laced together by access-roads and short-haul cargo trams feeding a sprawl of warehouse districts and logistics terminals, all making the colony vastly more accessible.",151,EXTREME
lightindustry,Light Industry,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/ltv_light_industry.png,wfg_ltv_econ.industry.LtvLightIndustry,Produces domestic and luxury goods. One of the few industries relatively unaffected by the Collapse due to its low-tech nature.,1400,MEDIUM
heavyindustry,LTV Heavy Industry,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/ltv_heavy_industry.png,wfg_ltv_econ.industry.LtvHeavyIndustry,"Centralized manufacturing infrastructure for production of heavy industrial equipment, supplies, and weapons. Also capable of producing barely-spaceworthy starships; a nanoforge can be installed to improve production quality.",1600,HIGH
orbitalworks,Orbital Works,60,150,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/orbital_works.png,wfg_ltv_econ.industry.LtvHeavyIndustry,"Centralized manufacturing infrastructure for production of heavy industrial equipment, supplies, and weapons. Also capable of producing barely-spaceworthy starships; a nanoforge can be installed to improve production quality.

Upgraded with an orbital component that further facilitates ship construction, resulting in fewer manufacturing defects.",1700,HIGH
