id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
ltv_population,Population & Infrastructure,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/ltv_population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,"The basic infrastructure required to support a given population, from rickety orbital hab-modules to megacities and everything between.",100,
ltv_farming,Farming,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/ltv_farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"Agriculture is a trade and technology as old as civilization itself; for thousands of cycles Humanity has harnessed the power of natural, modified, and artificial biological machines for sustenance. So it has always been, so it shall be so long as humans are human.",200,LOW
ltv_aquaculture,Aquaculture,50,60,,3,,,"farming, industry, rural",,graphics/icons/ltv_industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"Farming on a water world requires a significant initial investment in bioengineering suitable species, but once the process takes off, algae farms and fisheries can be operated by the population without requiring much in the way of specialized training or equipment.",210,MEDIUM
ltv_mining,Mining,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/ltv_mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"Metal and metalloid ores, organics, and volatile compounds all require heavy equipment, special infrastructure, and a skilled workforce to extract. The harsh work attracts a certain type, and an administration that's not willing to look the other way now and again may find itself running short of willing personnel.",300,MEDIUM
ltv_techmining,Tech-Mining,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/ltv_techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,"Techmining is the motley art of recovering valuable artifacts from Domain ruins. Requires special tools to deal with unique hazards and expert judgement to know where to look for a good haul of baubles. The oldest techminers are a strange lot, clutching luck-charms and refusing to work without their rituals.",400,MEDIUM
ltv_refining,Refining,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/ltv_refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,"Smelting plants here convert ores and transplutonic ores into metals and transplutonics, respectively. Teleoperated robotics are used to handle the most dangerous tasks, usually.",500,MEDIUM
ltv_spaceport,Spaceport,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/ltv_spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,Facilities for loading and unloading cargo and performing basic starship repairs. A colony without a spaceport is virtually inaccessible to interstellar trade.,150,HIGH
ltv_megaport,Megaport,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/ltv_megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"A vast starport where the stars can touch the dirt. Regimented lander gantries and armoured fuel tanks are laced together by access-roads and short-haul cargo trams feeding a sprawl of warehouse districts and logistics terminals, all making the colony vastly more accessible.",151,EXTREME
ltv_lightindustry,Light Industry,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/ltv_light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,Produces domestic and luxury goods. One of the few industries relatively unaffected by the Collapse due to its low-tech nature.,1400,MEDIUM
ltv_heavyindustry,LTV Heavy Industry,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/ltv_heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Centralized manufacturing infrastructure for production of heavy industrial equipment, supplies, and weapons. Also capable of producing barely-spaceworthy starships; a nanoforge can be installed to improve production quality.",1600,HIGH
ltv_orbitalworks,Orbital Works,60,150,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/ltv_orbital_works.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Centralized manufacturing infrastructure for production of heavy industrial equipment, supplies, and weapons. Also capable of producing barely-spaceworthy starships; a nanoforge can be installed to improve production quality.

Upgraded with an orbital component that further facilitates ship construction, resulting in fewer manufacturing defects.",1700,HIGH
ltv_fuelprod,Fuel Production,90,120,,10,,,"fuelprod, industry, industrial",,graphics/icons/industry/ltv_fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"This facility produces starship fuel, the life-blood of interstellar civilization. Lacking Domain-tech components, fuel production is a laborious and slow process.",1800,HIGH
#ltv_advfuelprod,Advanced Fuel Production,120,60,,5,fuelprod,,fuelprod,,graphics/icons/industry/ltv_advanced_fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"A massive Domain-tech facility produces starship fuel, the life-blood of interstellar civilization.",1900,
ltv_commerce,Commerce,90,90,,3,,,"industry, urban",,graphics/icons/industry/ltv_commerce.png,com.fs.starfarer.api.impl.campaign.econ.impl.TradeCenter,"Regulations, grants, and infrastructure to encourage thriving independent trade. Greatly reduces the degree of direct control the administration has over the colony.",1950,MEDIUM
ltv_station_base,Orbital Station,,,,,,,"station, parent_item, important, structure",station,graphics/icons/industry/ltv_station_category.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"A space station that is capable of supporting friendly fleets near $marketName and must be reduced before a bombardment can be attempted.

Several variations are available, with differences generally being in tactical approaches rather than overall strength.",2000,
ltv_orbitalstation,Orbital Station - Low Tech,50,90,,3,,battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/ltv_orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"A low-tech space station, featuring heavy armor and medium firepower.

Must be reduced before a bombardment can be attempted.",2010,
ltv_battlestation,Battlestation - Low Tech,100,120,,4,orbitalstation,starfortress,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/ltv_battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"A space station, augmented with a heavy bastion and point-defense citadels.

Must be reduced before a bombardment can be attempted.",2020,
ltv_starfortress,Star Fortress - Low Tech,200,180,,5,battlestation,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/ltv_star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"An up-armored battlestation, featuring Merlon-class defense drones and an extensive minefield.

Must be reduced before a bombardment can be attempted.",2030,
ltv_orbitalstation_mid,Orbital Station - Midline,50,90,,3,,battlestation_mid,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_midline_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/ltv_orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"A midline space station, featuring heavy firepower on one side and rapid axial rotation.

Must be reduced before a bombardment can be attempted.",2040,
ltv_battlestation_mid,Battlestation - Midline,100,120,,4,orbitalstation_mid,starfortress_mid,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_midline_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/ltv_battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"A space station, augmented with missile support modules.

Must be reduced before a bombardment can be attempted.",2050,
ltv_starfortress_mid,Star Fortress - Midline,200,180,,5,battlestation_mid,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_midline_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/ltv_star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"An up-armored battlestation, featuring Ravelin-class defense drones and an extensive minefield.

Must be reduced before a bombardment can be attempted.",2060,
ltv_orbitalstation_high,Orbital Station - High Tech,50,90,,3,,battlestation_high,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_hightech_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/ltv_orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"A high-tech space station, featuring heavy rotating shields, a fighter complement, and medium firepower.

Must be reduced before a bombardment can be attempted.",2070,
ltv_battlestation_high,Battlestation - High Tech,100,120,,4,orbitalstation_high,starfortress_high,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_hightech_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/ltv_battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"A space station, augmented with a defensive citadel featuring heavy firepower.

Must be reduced before a bombardment can be attempted.",2080,
ltv_starfortress_high,Star Fortress - High Tech,200,180,,5,battlestation_high,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_hightech_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/ltv_star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"An up-armored battlestation, featuring Gargoyle-class defense drones and long-range targeted mine teleporters.

Must be reduced before a bombardment can be attempted.",2090,
ltv_grounddefenses,Ground Defenses,30,60,,2,,heavybatteries,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ltv_ground_defenses.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"A dispersed, semi-autonomous network of small, hidden weapon installations which makes the prospect of a direct ground assault and even simple raids extremely costly to the attacker. Only overwhelming orbital bombardment or massively disproportionate active screening can suppress these defenses.",2200,
ltv_heavybatteries,Heavy Batteries,60,90,,3,grounddefenses,,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ltv_heavy_batteries.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"Armoured subsurface batteries supplement a dispersed network of small, hidden weapon installations. Ground-based batteries are capable of truly awesome firepower, though it only manifests by making ground operations more difficult, as no starship captain would be foolish enough to get within their firing envelopes.",2300,
ltv_patrolhq,Patrol HQ,60,60,,8,,militarybase,"patrol, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ltv_patrol_hq.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"The requisite hangars, maintenance bays, command/control center, barracks, and logistics operations required to project force throughout a star system. Once established, militarized patrols will hunt pirates and protect friendly convoys.",2400,
ltv_militarybase,Military Base,90,120,,10,patrolhq,highcommand,"military, unraidable, tactical_bombardment, industry",,graphics/icons/industry/ltv_military_base.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"These facilities enable force projection between star systems. Any such military undertaking is a massive logistical operation requiring coordination of dozens, perhaps hundreds of star ships and thousands of officers, crew, and soldiers.",2500,
ltv_highcommand,High Command,30,120,,14,militarybase,,"command, unraidable, tactical_bombardment, industry",,graphics/icons/industry/ltv_high_command.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,Transtellar empire is possible only through an exceptional corps of officers and bureaucrats given authority over the resources of entire star systems. An established high command allows military operations to be organized and executed across the Sector.,2600,
ltv_lionsguard,Lion's Guard HQ,90,60,,6,,,"military, unraidable, tactical_bombardment, structure, codex_unlockable",,graphics/icons/industry/ltv_lions_guard.png,com.fs.starfarer.api.impl.campaign.econ.impl.LionsGuardHQ,"Headquarters of the feared personal guard of Phillip ""The Lion of Sindria"" Andrada. Boasting superb training and access to the best equipment credits can buy, the fanatical loyalty of the Guard is maintained through a system of perks and incentives that both elevate and isolate the Guard from the Diktat's regular military.",2650,
ltv_planetaryshield,Planetary Shield,150,90,,3,,,"grounddefenses, structure, codex_unlockable",,graphics/icons/industry/ltv_planetary_shield.png,com.fs.starfarer.api.impl.campaign.econ.impl.PlanetaryShield,An envelope of charged plasma seeded with exotic virtual particles producing effects which disrupt the combat effectiveness of long-range bombardment and even incursion by small vessels. The planetary shield can be continually charged and controlled by a central source and presents a formidable obstacle to any form of ground assault.,2700,EXTREME
ltv_waystation,Waystation,20,60,,2,,,"waystation, structure",,graphics/icons/industry/ltv_waystation.png,com.fs.starfarer.api.impl.campaign.econ.impl.Waystation,A supply and maintenance depot for interstellar fleets. Increases a colony's accessibility.,155,MEDIUM
ltv_cryosanctum,Cryosanctum,150,90,,5,,,"cryosanctum, structure, codex_unlockable",,graphics/icons/industry/ltv_cryosanctum.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryosanctum,"An enormous tomb-like vault built to store those who choose to risk cryosleep to pass this time of troubles to wake in what will presumably be a more civilized age. The cryopods themselves are insignificant in size compared to the many-times redundant support infrastructure, massive automated security systems and anti-ship batteries, all housed in a branching subsurface fortress-labyrinth.",3000,EXTREME
,,,,,,,,,,,,,,
ltv_cryorevival,Cryorevival Facility,60,60,,5,,,"cryorevival, structure, codex_unlockable",,graphics/icons/industry/ltv_cryorevival.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryorevival,The necessary facilities for the mass revival and assimilation of the passengers of a Domain-era cryosleeper. Greatly increases population growth.,3200,MEDIUM
