id,trigger,conditions,script,text,options,notes

ltvWlscmpHijack,DialogOptionSelected,"$option == marketVisitBar
$market.policy_wellness_compliance
!$global.ltv_wlscmp_cooldown
RollProbability 0.3 score:100","$option = ltv_wlscmp_intro 0
FireBest DialogOptionSelected",,,WellnessCompliance bar event

ltvWlscmpIntro,DialogOptionSelected,$option == ltv_wlscmp_intro,,"As you enter the bar, the chatter seems unusually tense. Conversations trail off mid-sentence, and people keep glancing at each other with a quiet, uneasy suspicion.",ltv_wlscmp_observe:Go to the bar counter for a drink,INTRO TEXT

ltvWlscmpObserve,DialogOptionSelected,$option == ltv_wlscmp_observe,,"As you make your way to the counter, you notice patrons giving each other subtle side-eye, and a few are keeping their distance without any obvious reason. Nobody seems relaxed.","ltv_wlscmp_ask:Ask the bartender what's going on
ltv_wlscmp_leave:Leave quietly",OBSERVE PATRONS

ltvWlscmpAsk,DialogOptionSelected,$option == ltv_wlscmp_ask,,"He leans in, whispering that certain districts are supposedly higher-risk. He doesn't elaborate, just shrugs and straightens up again. Nobody in the bar looks comfortable hearing it said out loud.",ltv_wlscmp_leave:Leave the bar,ASK QUESTIONS

ltvWlscmpLeave,DialogOptionSelected,$option == ltv_wlscmp_leave,"$global.ltv_wlscmp_cooldown = true 60
$option = gaKA_hegJustLeave 0
FireBest DialogOptionSelected","You decide it's best not to get involved and step away.",,LEAVE



bresVitalis_button,AddBarEvents,"$market.policy_bres_vitalis
!$global.ltv_bresvitalis_cooldown
!$global.isDevMode
RollProbability 0.15",,"From the corner of your eye, you notice a man passed out in a table full of cans. The staff seem to ignore him.",bresVitalis_start:Inspect the man sleeping next to the mountain of cans,BresVitalis bar event (normal)

bresVitalis_button_debug,AddBarEvents,"$market.policy_bres_vitalis
!$global.ltv_bresvitalis_cooldown
$global.isDevMode",,"From the corner of your eye, you notice a man passed out in a table full of cans. The staff seem to ignore him.",bresVitalis_start:Inspect the man sleeping next to the mountain of cans,BresVitalis bar event (debug)

bresVitalis_start,DialogOptionSelected,$option == bresVitalis_start,$global.ltv_bresvitalis_cooldown = true 60,"You approach the man and notice the table, stacked with dozens of glowing cans of Bres Vitalis.","bresVitalis_call:Call the medbay to help him
bresVitalis_leave:Leave him be",

bresVitalis_call,DialogOptionSelected,$option == bresVitalis_call,AdjustRep independent COOPERATIVE 1,"You wake the man up and call for medical assistance.The medics arrive quickly and take him to the nearest medbay.",barHRE_goToNormalBar:Continue,

bresVitalis_leave,DialogOptionSelected,$option == bresVitalis_leave,,"You decide it's best not to get involved and leave the man to his nap.",barHRE_goToNormalBar:Continue,



convergence_festival_flavor,AddBarEvents,"$market.policy_convergence_festival
!$global.isDevMode
RollProbability 0.5",FireBest ConvergenceFestivalStart,"The bar is decorated with colorful banners and holographic displays celebrating The Convergence Festival. Patrons cheer and participate in the festive mood.",,The flavor text without the actual event

convergence_festival_start,ConvergenceFestivalStart,"!$global.ltv_convergence_festival_cooldown
!$global.isDevMode
RollProbability 0.2",,"Your eyes lock onto a festival performer among the crowd.
He looks tense and exhausted, glancing nervously at the crowd from his booth.",ConvergenceFestivalApproach:Approach the convergence festival performer,

convergence_festival_flavor_debug,AddBarEvents,"$market.policy_convergence_festival
$global.isDevMode",FireBest ConvergenceFestivalStart,"The bar is decorated with colorful banners and holographic displays celebrating The Convergence Festival. Patrons cheer and participate in the festive mood.",,The flavor text without the actual event

